Profundidade [m],COT [%],S1 [mg HC/g rocha],S2 [mg HC/g rocha],S3 [mg CO2/g rocha],Tmáx [°C],IH [mg HC/g COT,IO [mg CO2/g COT],Ro [%],IH Calculado [mg HC/g COT],Cluster,Carbono Ativo [%],Carbono Inerte [%],IH₀ Ativo [mg HC/g COT],Ro [%]_ajustado,Taxa de Transformação [v/v],COT₀ [%],S2₀ [mg HC/g rocha],Rₒ calculada [%],IH₀ [mg HC/g COT]
4569,0.66,0.36,0.83,2.49,437,125.7576,377.2727,,125.75757575757574,1,0.6600000000000006,-5.295409196883467e-16,125.75757575757565,0.7830377467103897,0.11238804430172422,0.6690380245001838,0.935093308141672,0.7059999999999995,139.76684043335942
4614,0.51,0.53,0.73,2.82,438,143.1373,552.9412,,143.13725490196077,1,0.5100000000000006,-5.295409196883467e-16,143.13725490196063,0.7951800007575756,0.13400600087042847,0.519714728673757,0.8429619613227552,0.7239999999999993,162.1970505769352
4641,0.6,0.62,1.05,3.15,433,175.0,525.0,,175.00000000000003,1,0.6000000000000005,-5.295409196883467e-16,174.99999999999986,0.8024086388590543,0.1483485565555327,0.6157292924941048,1.2328987499314517,0.6339999999999995,200.2338957981694
4653,0.64,0.73,1.13,2.85,435,176.5625,445.3125,,176.56249999999997,1,0.6400000000000006,-5.295409196883467e-16,176.56249999999983,0.8056078781775895,0.1550482580381356,0.6578324855348083,1.337354482962887,0.669999999999999,203.29711778761381
4671,6.12,13.1,19.5,8.12,402,318.6274,132.6797,,318.6274509803921,2,6.12,4.405923637034443e-16,318.62745098039215,0.8103913000954215,0.16546768498808717,6.452508762972301,23.366380964794203,0.07599999999999962,362.1286204039287
4674,1.5,1.54,4.87,4.81,405,324.6667,320.6667,,324.6666666666667,2,1.4999999999999996,4.405923637034443e-16,324.66666666666674,0.8111867445770979,0.1672469882286194,1.5841142362978815,5.848072515091645,0.129999999999999,369.169873048976
4689,557,0.52,0.84,4.94,422,150.8079,886.8941,,150.80789946140035,1,0.5570000000000006,-5.295409196883467e-16,150.80789946140018,0.8151563241912001,0.17632447710804655,0.5724644394209542,1.0198190630343495,0.43599999999999905,178.14539957554274
4713,692,0.58,0.94,3.31,432,135.8382,478.3237,,135.83815028901734,1,0.6920000000000005,-5.295409196883467e-16,135.83815028901725,0.8214813142540809,0.19146609068148734,0.7111434380083544,1.1625981163762147,0.6159999999999997,163.48292823065557
4728,728,0.69,1.02,2.07,435,140.1099,284.3407,,140.10989010989013,1,0.7280000000000005,-5.295409196883467e-16,140.10989010989002,0.8254180977943442,0.2013070648304378,0.7501094427524604,1.2770865436332606,0.669999999999999,170.2533618223901
4740,928,0.62,1.45,1.96,438,156.25,211.2069,,156.24999999999997,1,0.9280000000000006,-5.295409196883467e-16,156.2499999999999,0.8285585424103914,0.2093840012979271,0.9610251158649911,1.8340129751743135,0.7239999999999993,190.83923457334112
